Gene	Symbol
NECTIN2	5819
APOC1	341
BCAM	4059
APOE	348
ALDH1A2	8854
APOC1P1	342
BIN1	274
TOMM40	10452
IL6R	3570
BCL3	602
CLPTM1	1209
MMP12	4321
NKPD1	284353
RNU6-560P	106480590
ABCA1	19
RELB	5971
PPP1R37	284352
CLU	1191
CBLC	23624
TREM2	54209
CR1	1378
EXOC3L2	90332
APOB	338
PICALM	8301
PILRA	29992
KRBOX1	100506243
CLASRP	11129
MARK4	57787
PVR	5817
ABCA7	10347
MS4A6A	64231
UNC5CL	222643
MADD	8567
PTK2B	2185
MS4A2	2206
MS4A4A	51338
GEMIN7-AS1	105372419
CEACAM22P	388550
SORL1	6653
NIFKP9	106480805
ZCWPW1	55063
EPHA1-AS1	285965
CCRL2	9034
OARD1	221443
PGAM5P1	100421133
RNU2-54P	106481651
CEACAM20	125931
B3GNTL1P2	106480419
LIPG	9388
SUCLG2	8801
HLA-DRB1	3123
PPIAP55	342541
UBE2L3	7332
BCAS3	54828
IGSF23	147710
LINC02268	101928509
CD2AP	23607
BZW2	28969
SLC24A4	123041
ADAM10	102
SPON1	10418
CNN2	1265
HLA-DQA1	3117
EPHA1	2041
FRMD4A	55691
HLA-DRA	3122
CHRNA2	1135
ADAMTS4	9507
MTHFD1L	25902
INPP5D	3635
RBFOX1	54715
ABI3	51225
PLCG2	5336
OR4S1	256148
ATP5F1C	509
TLN2	83660
CASS4	57091
RNU6-412P	106481308
TMC5	79838
CACNA1G	8913
TSPOAP1-AS1	100506779
TENT5A	55603
LINC01185	400957
CNTNAP2	26047
MIR572	693157
SIGLEC22P	114195
GLIS3	169792
SYNJ1	8867
RN7SL152P	106480962
SCARB1	949
OSTN	344901
CSTP2	1481
TCF7L2	6934
GPR141	353345
FERMT2	10979
ARL17B	100506084
HBEGF	1839
SDR42E2	100288072
NKAIN3	286183
PHF14	9678
CTNNA2	1496
ANKRD55	79722
SAP30L	79685
HESX1	8820
CELF1	10658
SNRPCP13	106481786
ITSN2	50618
TMEM132C	92293
KDM1B	221656
RN7SL825P	107080654
MYO16	23026
CLMN	79789
LINC00271	100131814
MRPL58	3396
NFIC	4782
IQCK	124152
LINC01326	106144540
RNU6-248P	106481256
TGM6	343641
ALPK2	115701
APH1B	83464
STAG3	10734
BCKDK	10295
ZNF292	23036
PMS2CL	441194
MEF2C-AS1	101929423
CYYR1	116159
PTPRG	5793
LARS	51520
JCAD	57608
TNRC6A	27327
KAT8	84148
CKM	1158
EDAR	10913
PSMC3	5702
SCARA3	51435
OSBPL6	114880
F13A1	2162
MARK2P15	100533794
FBXL7	23194
CRADD	8738
BHMG1	388553
DSG2	1829
ZFP3	124961
ACE	1636
CEACAM19	56971
MS4A6E	245802
ADGRF2	222611
AGFG2	3268
AP4M1	9179
CASTOR3	352954
PMS2P1	5379
APOC4-APOC2	100533990
GULOP	2989
SPI1	6688
MS4A3	932
EPHX2	2053
CR1L	1379
ZNF232	7775
APOC4	346
COX10-AS1	100874058
SNX9	51429
CCDC89	220388
SMILR	105375734
COL12A1	1303
GPC6	10082
FMN2	56776
RPL7P19	100270853
STEAP1B	256227
TGFB2	7042
PMAIP1	5366
PNPLA7	375775
SP6	80320
SLC25A5P3	222005
NDUFAF6	137682
LAMP1	3916
FOXN2	3344
AHNAK	79026
TXNL1	9352
WAC	51322
RNU6-909P	106481466
LINC01965	107985928
LINC00343	144920
FAM181A-AS1	283592
HERC2	8924
TRPM1	4308
LYPLA1P1	100129401
FZD6	8323
CDC5L	988
F2RL1	2150
MOBP	4336
GSK3B	2932
DSCAML1	57453
IL34	146433
BMPER	168667
TECTA	7007
ARVCF	421
SLC39A8	64116
SETD7	80854
RN7SKP141	106479157
RPL34P29	100271503
CDH13	1012
ARF4P4	100129023
LINC02214	102467223
G3BP1	10146
TRMO	51531
SORCS3	22986
ZNF862	643641
SGK3	23678
PPP1R42	286187
ATP5MFP3	445573
DST	667
EYA4	2070
RNU6-381P	106480576
CELF2	10659
AFF1	4299
CYCS	54205
RNF165	494470
IRF2	3660
AKAP9	10142
PCDH11X	27328
CDC42SE2	56990
ACSL6	23305
THSD4	79875
UBXN11	91544
HMGB3P12	100873898
LINC02008	105377180
